version,major_version,release_date,withdrawn,no_windows,release_type,no_source,go_version,sha,docker_image,has_sql_only
beta-20160407,v1.0,2016-04-07,false,true,Testing,true,go1.8.3,96f4c50a69272cfd5a32e65889f5f72033502ed2,cockroachdb/cockroach-unstable,false
beta-20160414,v1.0,2016-04-14,false,true,Testing,true,go1.8.3,852d6b6b3d3feec24f82ace7fc07e67a436d212c,cockroachdb/cockroach-unstable,false
beta-20160421,v1.0,2016-04-21,false,true,Testing,true,go1.8.3,e6880ae2bce8f2a391f6adc07f9945c783480e2b,cockroachdb/cockroach-unstable,false
beta-20160428,v1.0,2016-04-28,false,true,Testing,true,go1.8.3,d9cda18c0fc576bd138cede478d1a59f8281abe8,cockroachdb/cockroach-unstable,false
beta-20160505,v1.0,2016-05-05,false,true,Testing,true,go1.8.3,5be1702fc2981cdd834f29eadb60c5e61b7e23cd,cockroachdb/cockroach-unstable,false
beta-20160512,v1.0,2016-05-12,false,true,Testing,true,go1.8.3,c279ed67b7a76bf05b1df8ebeecb300c4eeb306d,cockroachdb/cockroach-unstable,false
beta-20160519,v1.0,2016-05-19,false,true,Testing,true,go1.8.3,5430fae20fd2418260ed7fb0299b1aa1ae3af4bf,cockroachdb/cockroach-unstable,false
beta-20160526,v1.0,2016-05-26,false,true,Testing,true,go1.8.3,8ceb16ba4e3e363a2b6428697ac7143436a214da,cockroachdb/cockroach-unstable,false
beta-20160602,v1.0,2016-06-02,false,true,Testing,true,go1.8.3,5f666c832692145466fb721463ea5d9e3ffe2236,cockroachdb/cockroach-unstable,false
beta-20160609,v1.0,2016-06-09,false,true,Testing,true,go1.8.3,093e1e3e08daa1607cf15aeed8bb0bc0c51ac033,cockroachdb/cockroach-unstable,false
beta-20160616,v1.0,2016-06-16,false,true,Testing,true,go1.8.3,9959a236a0da44371112293d56b9340f47d2ba53,cockroachdb/cockroach-unstable,false
beta-20160629,v1.0,2016-06-29,false,true,Testing,true,go1.8.3,6be9dd107714812421cab40724a2472ba0e5af93,cockroachdb/cockroach-unstable,false
beta-20160714,v1.0,2016-07-14,false,true,Testing,true,go1.8.3,efd0607aa755fe4dcad6d21b47e0ac285df461df,cockroachdb/cockroach-unstable,false
beta-20160721,v1.0,2016-07-21,false,true,Testing,true,go1.8.3,040e3b9d25ba73ab2856d7133b53493d25b66ef7,cockroachdb/cockroach-unstable,false
beta-20160728,v1.0,2016-07-28,false,true,Testing,true,go1.8.3,844e419503ab060aa091c40a7126cb6766fb6621,cockroachdb/cockroach-unstable,false
beta-20160829,v1.0,2016-08-29,false,true,Testing,true,go1.8.3,ce2bc501f35e5a0d5707fd11d88ca28224aa34b9,cockroachdb/cockroach-unstable,false
beta-20160908,v1.0,2016-09-09,false,true,Testing,true,go1.8.3,186e4e308656b4c04faea129d9d611ff48dffe85,cockroachdb/cockroach-unstable,false
beta-20160915,v1.0,2016-09-15,false,true,Testing,true,go1.8.3,3fff05767cd3eda2197ce102391c0de447fef606,cockroachdb/cockroach-unstable,false
beta-20160929,v1.0,2016-09-29,false,true,Testing,true,go1.8.3,96fa76f49c83a5c9fce12ef6b15449e16442adbf,cockroachdb/cockroach-unstable,false
beta-20161006,v1.0,2016-10-06,false,true,Testing,true,go1.8.3,72ee63f79c3c0670dc0500dda437b31e06ed81db,cockroachdb/cockroach-unstable,false
beta-20161013,v1.0,2016-10-13,false,true,Testing,true,go1.8.3,8f6cd21c1123d0e77332a591df5b22a83dc558f5,cockroachdb/cockroach-unstable,false
beta-20161027,v1.0,2016-10-27,false,true,Testing,true,go1.8.3,5bc7bf1f0bd755f1bf597e77a260818273e78705,cockroachdb/cockroach-unstable,false
beta-20161103,v1.0,2016-11-03,false,true,Testing,true,go1.8.3,9ce883365db916baa8a6d66d16bc153e7b3977e0,cockroachdb/cockroach-unstable,false
beta-20161201,v1.0,2016-12-01,false,true,Testing,true,go1.8.3,8141dac4107ca18cd48b96b1248302d99638d6b6,cockroachdb/cockroach-unstable,false
beta-20161208,v1.0,2016-12-08,false,true,Testing,true,go1.8.3,a855534af60f59539cae2df3ee57c3f54f1fd5b3,cockroachdb/cockroach-unstable,false
beta-20161215,v1.0,2016-12-15,false,true,Testing,true,go1.8.3,5596982f21d1665e3872d2f0e4823e6f9168c1b8,cockroachdb/cockroach-unstable,false
beta-20170105,v1.0,2017-01-05,false,true,Testing,true,go1.8.3,e1ef4ec96659ef27ff29d923014f416070a982b6,cockroachdb/cockroach-unstable,false
