layer,metric,description,y-axis label,type,unit,aggregation,derivative
STORAGE,abortspanbytes,Number of bytes in the abort span,Storage,GAUGE,BYTES,AVG,NONE
STORAGE,addsstable.applications,Number of SSTable ingestions applied (i.e. applied by Replicas),Ingestions,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,addsstable.aswrites,"Number of SSTables ingested as normal writes.

These AddSSTable requests do not count towards the addsstable metrics
'proposals', 'applications', or 'copies', as they are not ingested as AddSSTable
Raft commands, but rather normal write commands. However, if these requests get
throttled they do count towards 'delay.total' and 'delay.enginebackpressure'.
",Ingestions,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,addsstable.copies,number of SSTable ingestions that required copying files during application,Ingestions,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,addsstable.delay.enginebackpressure,Amount by which evaluation of AddSSTable requests was delayed by storage-engine backpressure,Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,addsstable.delay.total,Amount by which evaluation of AddSSTable requests was delayed,Nanoseconds,COUNTER,NANOSECONDS,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,addsstable.proposals,Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders),Ingestions,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-cpu,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-cpu.bulk-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-cpu.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-stores,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-stores.bulk-low-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.elastic-stores.bulk-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv-stores,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv-stores.high-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv-stores.locking-normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv-stores.normal-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv-stores.user-high-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
STORAGE,admission.admitted.kv.high-pri,Number of requests admitted,Requests,COUNTER,COUNT,AVG,NON_NEGATIVE_DERIVATIVE
