datadog_id,type,description
abortspanbytes,gauge,"Number of bytes in the abort span
Shown as byte"
addsstable.applications,count,"[OpenMetrics v1] Number of SSTable ingestions applied (i.e. applied by Replicas)
Shown as operation"
addsstable.applications.count,count,"[OpenMetrics v2] Number of SSTable ingestions applied (i.e. applied by Replicas)
Shown as operation"
addsstable.copies,count,"[OpenMetrics v1] number of SSTable ingestions that required copying files during application
Shown as operation"
addsstable.copies.count,count,"[OpenMetrics v2] number of SSTable ingestions that required copying files during application
Shown as operation"
addsstable.delay.count,count,"Amount by which evaluation of AddSSTable requests was delayed
Shown as nanosecond"
addsstable.delay.enginebackpressure.count,count,"Amount by which evaluation of AddSSTable requests was delayed by storage-engine backpressure
Shown as nanosecond"
addsstable.proposals,count,"[OpenMetrics v1] Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders)
Shown as operation"
addsstable.proposals.count,count,"[OpenMetrics v2] Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders)
Shown as operation"
admission.admitted.elastic_cpu.bulk_normal_pri.count,count,Number of requests admitted
admission.admitted.elastic_cpu.count,count,Number of requests admitted
admission.admitted.elastic_cpu.normal_pri.count,count,Number of requests admitted
admission.admitted.kv,count,"[OpenMetrics v1] Number of KV requests admitted
Shown as request"
admission.admitted.kv.bulk_normal_pri.count,count,Number of requests admitted
admission.admitted.kv.count,count,"[OpenMetrics v2] Number of KV requests admitted
Shown as request"
admission.admitted.kv.high_pri.count,count,Number of requests admitted
admission.admitted.kv.locking_normal_pri.count,count,Number of requests admitted
admission.admitted.kv.normal_pri.count,count,Number of requests admitted
admission.admitted.kv_stores,count,"[OpenMetrics v1] Number of KV stores requests admitted
Shown as request"
admission.admitted.kv_stores.bulk_normal_pri.count,count,Number of requests admitted
admission.admitted.kv_stores.count,count,"[OpenMetrics v2] Number of KV stores requests admitted
Shown as request"
admission.admitted.kv_stores.high_pri.count,count,Number of requests admitted
admission.admitted.kv_stores.locking_normal_pri.count,count,Number of requests admitted
admission.admitted.kv_stores.normal_pri.count,count,Number of requests admitted
admission.admitted.kv_stores.ttl_low_pri.count,count,Number of requests admitted
admission.admitted.sql.leaf.start,count,"[OpenMetrics v1] Number of SQL leaf start requests admitted
Shown as request"
