priority,asset_type,source_version,target_version,version_gap,source_file,reference_type,url,link_text,context,tag_name
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v24.2,v2.1,22.1,v24.2/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v24.1,v2.1,22.0,v24.1/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v23.2,v2.1,21.1,v23.2/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/02_postgresql_data_source.png,,Add a PostgreSQL data source. (New (+) > Data Source > PostgreSQL),img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/03_general_tab.png,,,img
CRITICAL,image,v23.1,v2.1,21.0,v23.1/intellij-idea.html,src,/docs/images/v2.1/intellij/04_options_tab.png,,"Go to the Options tab, and then select Introspect using JDBC metadata.",img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/XX000_error_could_not_decorrelate_subquery.png,,,img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42883_error_pg_function_is_visible.png,,,img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/42073_error_column_n_xmin_does_not_exist.png,,,img
CRITICAL,image,v22.2,v2.1,20.1,v22.2/intellij-idea.html,src,/docs/images/v2.1/intellij/01_database_tool_window.png,,Launch the Database tool window. (View > Tool Windows > Database),img
